,Time Difference,user.screen_name
2090,0 days 00:03:54.000000000,pedrordrgz
2091,0 days 00:03:54.000000000,Jarrapicho
2097,0 days 00:03:55.000000000,fritiofh
2105,0 days 00:03:56.000000000,Melendex_
2114,0 days 00:03:58.000000000,dasert24
2121,0 days 00:03:59.000000000,VasileiosMavro
2138,0 days 00:04:02.000000000,LedellAnton
2146,0 days 00:04:03.000000000,ajay221B
2147,0 days 00:04:03.000000000,Esetel
2148,0 days 00:04:03.000000000,Rayus100
2157,0 days 00:04:04.000000000,KeenanMillhouse
2170,0 days 00:04:06.000000000,Thicc_Alpaca
2176,0 days 00:04:07.000000000,danielalford_
2213,0 days 00:04:14.000000000,ThKaldis
2220,0 days 00:04:14.000000000,Dope_Aesthetika
2235,0 days 00:04:20.000000000,Sander_Olafsen
2244,0 days 00:04:22.000000000,edistogreen
2254,0 days 00:04:23.000000000,GauuravSanan
2259,0 days 00:04:24.000000000,big_fat_willy
2266,0 days 00:04:25.000000000,ItsSergioV
2278,0 days 00:04:28.000000000,Thamer1
2289,0 days 00:04:30.000000000,Mini_is_awesome
2290,0 days 00:04:30.000000000,Timofei82
2303,0 days 00:04:32.000000000,pmguerre71
2314,0 days 00:04:34.000000000,masterabu101
2318,0 days 00:04:36.000000000,aidanfrench720
2336,0 days 00:04:41.000000000,_nayek_
2345,0 days 00:04:44.000000000,pandiriadarsh
2346,0 days 00:04:44.000000000,RishalatRafi
2359,0 days 00:04:47.000000000,KarolKruszczak
2361,0 days 00:04:47.000000000,UndisputedMstr
2374,0 days 00:04:49.000000000,baumby1
2388,0 days 00:04:51.000000000,RyanNZ16
2405,0 days 00:04:54.000000000,Kaylan127
2406,0 days 00:04:54.000000000,ElutherS19
2418,0 days 00:04:55.000000000,hocoas
2422,0 days 00:04:56.000000000,tanguydecenival
2423,0 days 00:04:56.000000000,muppalamohan
2438,0 days 00:04:59.000000000,Not_Jadon
2447,0 days 00:05:00.000000000,andi_mirel
2456,0 days 00:05:02.000000000,HackingTheBlvd
2463,0 days 00:05:04.000000000,calvinkw1
2472,0 days 00:05:05.000000000,alonzorey
2498,0 days 00:05:12.000000000,MilkySlipper
2510,0 days 00:05:15.000000000,YoungReneD
2523,0 days 00:05:18.000000000,AMathary
2526,0 days 00:05:19.000000000,SteffanRS
2527,0 days 00:05:19.000000000,fabmeirelles
2528,0 days 00:05:19.000000000,kelmess77
2552,0 days 00:05:22.000000000,JonathanSchwal1
2567,0 days 00:05:27.000000000,TheReal_MaKo
2568,0 days 00:05:27.000000000,CG6Tech
2582,0 days 00:05:30.000000000,renegadertlr
2615,0 days 00:05:38.000000000,darnellljay_
2622,0 days 00:05:40.000000000,PgRilind
2625,0 days 00:05:41.000000000,SpeedTM25
2632,0 days 00:05:42.000000000,schreialex
2657,0 days 00:05:47.000000000,alsultanmo1
2662,0 days 00:05:48.000000000,House_Paint
2666,0 days 00:05:49.000000000,Bavavolo
2676,0 days 00:05:51.000000000,sunnymdave
2682,0 days 00:05:52.000000000,leb_nic
2686,0 days 00:05:54.000000000,TomDeSena
2701,0 days 00:05:57.000000000,DDeliirium
2705,0 days 00:05:59.000000000,TFOGPT
2706,0 days 00:05:59.000000000,theinfamousluis
2711,0 days 00:06:00.000000000,ilhamad94
2734,0 days 00:06:04.000000000,imxdani
2748,0 days 00:06:07.000000000,Simon27899342
2750,0 days 00:06:08.000000000,aarojarvinen
2768,0 days 00:06:11.000000000,anil_2118
