,Time Difference,user.screen_name
372,0 days 00:00:31.000000000,chrisstoddjr
378,0 days 00:00:32.000000000,MikeHendley
379,0 days 00:00:32.000000000,JoshuaTheFox
380,0 days 00:00:32.000000000,Fiisker
382,0 days 00:00:32.000000000,joe_p_thegreat
383,0 days 00:00:32.000000000,TooBluntTV
385,0 days 00:00:32.000000000,Josh_latif_
388,0 days 00:00:32.000000000,sarthakmarwaha
389,0 days 00:00:32.000000000,manny_delara
391,0 days 00:00:32.000000000,PrimeRebirth
392,0 days 00:00:32.000000000,Figsalan101
395,0 days 00:00:33.000000000,Harsha012
396,0 days 00:00:33.000000000,Dillon_The_Guy5
399,0 days 00:00:33.000000000,ConnorDuncan118
401,0 days 00:00:33.000000000,arindam1611
404,0 days 00:00:33.000000000,RonitMehta7
406,0 days 00:00:33.000000000,YoBoiiYTK_TV
407,0 days 00:00:33.000000000,salah_altabbaa
408,0 days 00:00:33.000000000,yashdixit97
412,0 days 00:00:34.000000000,Karan1410_
414,0 days 00:00:34.000000000,014_edward
415,0 days 00:00:34.000000000,3L9devin
416,0 days 00:00:34.000000000,Palafox_Isaac96
418,0 days 00:00:34.000000000,mattiaslind93
419,0 days 00:00:34.000000000,NickalesGB
421,0 days 00:00:34.000000000,LkDanish
423,0 days 00:00:34.000000000,Avi_madridista
424,0 days 00:00:34.000000000,khannin69
425,0 days 00:00:34.000000000,Bobb_O
428,0 days 00:00:34.000000000,Raymond6660
429,0 days 00:00:34.000000000,joaotorresb
432,0 days 00:00:34.000000000,AlienRadiation
433,0 days 00:00:35.000000000,edison4442
435,0 days 00:00:35.000000000,mr_hu3rta
437,0 days 00:00:35.000000000,saqibmkhaliq
438,0 days 00:00:35.000000000,AkhilMovva
439,0 days 00:00:35.000000000,tejonidhipaul
441,0 days 00:00:35.000000000,gujar753
443,0 days 00:00:35.000000000,3dy_l3vy
444,0 days 00:00:35.000000000,CSwaimb
445,0 days 00:00:35.000000000,mwthomps7
446,0 days 00:00:35.000000000,vascoserra
448,0 days 00:00:35.000000000,cesarnono13
449,0 days 00:00:35.000000000,adiyan_ahmed
450,0 days 00:00:35.000000000,Samarth204
451,0 days 00:00:35.000000000,_tony_starks
452,0 days 00:00:35.000000000,ErraSriteja
455,0 days 00:00:36.000000000,_Dawnatello
458,0 days 00:00:36.000000000,bustamantetito
459,0 days 00:00:36.000000000,_twinkletoez
460,0 days 00:00:36.000000000,koriginalz
461,0 days 00:00:36.000000000,sam_crabbe2016
462,0 days 00:00:36.000000000,Nrgould197
463,0 days 00:00:36.000000000,MikeSafariMusic
464,0 days 00:00:36.000000000,LosPonies
465,0 days 00:00:36.000000000,razza215
466,0 days 00:00:36.000000000,qxtxn
467,0 days 00:00:36.000000000,LeoBartlett1
468,0 days 00:00:36.000000000,yoneoarai
470,0 days 00:00:36.000000000,KUAHUTEMOK
471,0 days 00:00:36.000000000,OsherAbergel
472,0 days 00:00:37.000000000,suniltatipelly
473,0 days 00:00:37.000000000,velocipedusrex
475,0 days 00:00:37.000000000,benwhite99
476,0 days 00:00:37.000000000,TheSeaFx
477,0 days 00:00:37.000000000,estevesfjm
478,0 days 00:00:37.000000000,eda12373
479,0 days 00:00:37.000000000,tevonwallace
480,0 days 00:00:37.000000000,snugglemode
481,0 days 00:00:37.000000000,johnpedro
