,Time Difference,user.screen_name
2704,0 days 00:05:58.000000000,trevorhaverpuck
2707,0 days 00:05:59.000000000,kaare105
2712,0 days 00:06:00.000000000,KatsCyl
2723,0 days 00:06:02.000000000,solesavage
2767,0 days 00:06:10.000000000,con1100
2775,0 days 00:06:12.000000000,ScottWLovesYou
2776,0 days 00:06:11.000000000,nadzf458
2783,0 days 00:06:14.000000000,playaple
2791,0 days 00:06:16.000000000,poetictrvgedy
2796,0 days 00:06:17.000000000,PaoloFlandini
2801,0 days 00:06:19.000000000,alellyphant
2819,0 days 00:06:22.000000000,zutug
2821,0 days 00:06:23.000000000,booyacz
2827,0 days 00:06:24.000000000,LifeOfMako
2834,0 days 00:06:26.000000000,yasarturo
2835,0 days 00:06:26.000000000,MonicoCastro
2840,0 days 00:06:27.000000000,chowftw
2846,0 days 00:06:28.000000000,Brahmonaut
2850,0 days 00:06:28.000000000,jasonphuff
2865,0 days 00:06:32.000000000,thtbullsfan
2868,0 days 00:06:33.000000000,Levi_STEM
2869,0 days 00:06:33.000000000,arsynstyles
2879,0 days 00:06:35.000000000,drmikeographer
2885,0 days 00:06:36.000000000,fraser_davies
2893,0 days 00:06:37.000000000,kskchaitanya93
2899,0 days 00:06:38.000000000,kajun_cheng
2900,0 days 00:06:38.000000000,LG_B87
2903,0 days 00:06:39.000000000,chenyu_huang
2912,0 days 00:06:42.000000000,DreamyPaloma
2921,0 days 00:06:43.000000000,hugofraga6
2933,0 days 00:06:45.000000000,Call_Me_TonyT
2941,0 days 00:06:47.000000000,Imzzzyyyy
2943,0 days 00:06:47.000000000,BIGROD206xjuan
2949,0 days 00:06:48.000000000,Dxaoud
2951,0 days 00:06:49.000000000,CoreyDuckT
2955,0 days 00:06:50.000000000,1airdem
2977,0 days 00:06:54.000000000,thejamietaylor
2979,0 days 00:06:55.000000000,SaifMansour88
2981,0 days 00:06:55.000000000,mishrashubham
2987,0 days 00:06:56.000000000,chumpi95
2992,0 days 00:06:56.000000000,itspedronunes
2993,0 days 00:06:57.000000000,Socalledsin
2998,0 days 00:06:58.000000000,imVSen
3003,0 days 00:06:59.000000000,zenkix
3007,0 days 00:06:59.000000000,mrsmelmusic
3010,0 days 00:07:00.000000000,Hugo03J
3013,0 days 00:07:00.000000000,leaffanrez
3020,0 days 00:07:02.000000000,bwood954
3025,0 days 00:07:03.000000000,gaboneee
3026,0 days 00:07:03.000000000,Princesslizzz11
3031,0 days 00:07:04.000000000,furkannmavii
3033,0 days 00:07:05.000000000,antonbellyza
3034,0 days 00:07:04.000000000,mrcharlescisco
3036,0 days 00:07:05.000000000,junehermoso_
3044,0 days 00:07:06.000000000,Complex_Troy
3050,0 days 00:07:07.000000000,carlosdelrey95
3066,0 days 00:07:11.000000000,noa876
3067,0 days 00:07:11.000000000,IdkBrandon_
3079,0 days 00:07:14.000000000,tromboneshinobi
3087,0 days 00:07:16.000000000,dickson_ho
3092,0 days 00:07:16.000000000,zonathxn
3099,0 days 00:07:18.000000000,PeterStewart10
3100,0 days 00:07:19.000000000,adiffrntjase
3102,0 days 00:07:19.000000000,MyStylesArmyx_
3104,0 days 00:07:19.000000000,metonymontanas
3106,0 days 00:07:19.000000000,epicoli2002
3108,0 days 00:07:19.000000000,mreffvee
3125,0 days 00:07:22.000000000,Leguhcy
3127,0 days 00:07:22.000000000,BeckiRowse
3136,0 days 00:07:24.000000000,eidolon51215
3137,0 days 00:07:24.000000000,TeshomeRobale
3139,0 days 00:07:24.000000000,SpacewardCarpet
3142,0 days 00:07:25.000000000,rlenguamora
3146,0 days 00:07:26.000000000,RGIII3
3156,0 days 00:07:28.000000000,_michaelbrady_
3174,0 days 00:07:32.000000000,ICHR94
3181,0 days 00:07:34.000000000,onthecamrenship
3185,0 days 00:07:34.000000000,ConnorGreen52
3194,0 days 00:07:36.000000000,PenguinH1p0
3196,0 days 00:07:36.000000000,ElGrifo_23
3199,0 days 00:07:38.000000000,beeb9840
3203,0 days 00:07:39.000000000,WisselinkJason
3206,0 days 00:07:40.000000000,jeroendeheegher
3210,0 days 00:07:40.000000000,italktooomuch
3216,0 days 00:07:42.000000000,Timmy_AFC
3224,0 days 00:07:44.000000000,trust_worthy1
3232,0 days 00:07:46.000000000,2486Castro
3235,0 days 00:07:47.000000000,sergei_smolkin
3239,0 days 00:07:48.000000000,shorde101
3243,0 days 00:07:48.000000000,JulianBragachi
3244,0 days 00:07:49.000000000,Frodo_95
3253,0 days 00:07:50.000000000,ClareOdell18
3257,0 days 00:07:51.000000000,DoornebosP
3261,0 days 00:07:53.000000000,BVerbaere
3262,0 days 00:07:53.000000000,BossTic70290
3266,0 days 00:07:54.000000000,alexosity1
3269,0 days 00:07:54.000000000,cktrojan
3272,0 days 00:07:56.000000000,joshakajeff
3277,0 days 00:07:57.000000000,a_jh2009
3279,0 days 00:07:57.000000000,AdnanLaBanane
3282,0 days 00:07:58.000000000,AkayaZero
3306,0 days 00:08:03.000000000,MysticModds
3309,0 days 00:08:04.000000000,aymswick
3310,0 days 00:08:04.000000000,Delta_Unknown
3319,0 days 00:08:06.000000000,brysonplh
3325,0 days 00:08:07.000000000,dan_ohearn
3331,0 days 00:08:08.000000000,8an7iago
3333,0 days 00:08:08.000000000,softkakyoin
3338,0 days 00:08:09.000000000,steindani
3349,0 days 00:08:11.000000000,Aadzer
3351,0 days 00:08:12.000000000,hesitantnothing
3364,0 days 00:08:15.000000000,I_am_richmind
3365,0 days 00:08:15.000000000,GrantNoble
3367,0 days 00:08:16.000000000,PrasadamSaiteja
3370,0 days 00:08:17.000000000,GTAirpline
3371,0 days 00:08:18.000000000,Haimid7
3391,0 days 00:08:21.000000000,im_brandon_64
3403,0 days 00:08:24.000000000,accavitti1
3408,0 days 00:08:24.000000000,beealeaf
3412,0 days 00:08:25.000000000,polymorphic92
3417,0 days 00:08:27.000000000,shengslogar
3432,0 days 00:08:31.000000000,SentrkUfuk
3443,0 days 00:08:34.000000000,marycvldz
3458,0 days 00:08:36.000000000,ShivanR_97
3460,0 days 00:08:36.000000000,Chip_Whiting
3473,0 days 00:08:38.000000000,bkelly46
3474,0 days 00:08:39.000000000,Landonland_
3475,0 days 00:08:39.000000000,Staralfur3
3483,0 days 00:08:40.000000000,ConstantinHacks
3489,0 days 00:08:41.000000000,F4T4ALiTY
3490,0 days 00:08:42.000000000,ka6Knight
3492,0 days 00:08:42.000000000,ItsYaBoyGee619
3494,0 days 00:08:43.000000000,josephvolosin
3495,0 days 00:08:43.000000000,HawkTheMiner
3497,0 days 00:08:44.000000000,IossIess
3524,0 days 00:08:49.000000000,dino_SAO
3532,0 days 00:08:53.000000000,BrunoVazquez95
3536,0 days 00:08:54.000000000,jaysenburg
3545,0 days 00:08:56.000000000,michi_seitz
3546,0 days 00:08:56.000000000,10Dublas3
3549,0 days 00:08:56.000000000,legomaker456
3555,0 days 00:08:58.000000000,JosiahMelendez
3564,0 days 00:08:59.000000000,Kobex81
3575,0 days 00:09:02.000000000,CapivaraMalvada
3610,0 days 00:09:11.000000000,miguelalfasuar2
3617,0 days 00:09:13.000000000,SlightlyBearded
3618,0 days 00:09:14.000000000,3DJarx
3622,0 days 00:09:15.000000000,sumeetc2
3635,0 days 00:09:17.000000000,FDB_hiroshima
3640,0 days 00:09:20.000000000,Chrissstian93
3644,0 days 00:09:21.000000000,JacksonDuCharme
3647,0 days 00:09:22.000000000,LucasCantor
3649,0 days 00:09:23.000000000,Mark8633
3650,0 days 00:09:23.000000000,TheWookiMonster
3656,0 days 00:09:25.000000000,boulain_pedi
3658,0 days 00:09:26.000000000,wjburris
3662,0 days 00:09:26.000000000,recenzija_tv
3672,0 days 00:09:29.000000000,ShadabNY
3673,0 days 00:09:29.000000000,lonzy9
3687,0 days 00:09:32.000000000,RyanHelterhoff
3688,0 days 00:09:32.000000000,GeekGal29
3701,0 days 00:09:36.000000000,PhilippFritsch
3703,0 days 00:09:36.000000000,BeastyBubblegum
3708,0 days 00:09:37.000000000,VentureDZN
3710,0 days 00:09:37.000000000,ODEP_BEAR
3718,0 days 00:09:40.000000000,ZeusTemesgen
3732,0 days 00:09:44.000000000,DJCimmerian
3736,0 days 00:09:45.000000000,ejg036
3745,0 days 00:09:47.000000000,Over_Clocked
3750,0 days 00:09:48.000000000,Legit_Newton
3753,0 days 00:09:48.000000000,Cutekim_berly
3754,0 days 00:09:48.000000000,NaijaYouthChat
3756,0 days 00:09:48.000000000,Legit9jaMedia
3758,0 days 00:09:48.000000000,UncleLagos
3759,0 days 00:09:48.000000000,KanoUncle
3760,0 days 00:09:48.000000000,UncleBenin
3761,0 days 00:09:48.000000000,Uncle_PH
3769,0 days 00:09:52.000000000,MarkusMaribu
3771,0 days 00:09:53.000000000,R84444143
3803,0 days 00:09:59.000000000,goonerofficiel
3805,0 days 00:10:00.000000000,nano2_0
3814,0 days 00:10:02.000000000,derekhirz
3818,0 days 00:10:04.000000000,jvergoose
3823,0 days 00:10:05.000000000,BrutalCarlson
3836,0 days 00:10:09.000000000,thejoshgreeson
3844,0 days 00:10:10.000000000,CooperCavender
3848,0 days 00:10:11.000000000,jonerickr
3865,0 days 00:10:16.000000000,pedrohel_
