"_id",created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
5821dc80369b220024820977,Tue Nov 08 14:09:04 +0000 2016,795991531706613761,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,28,5145,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",6304,6862,307877719,killabeas69
5821dc83369b2200248209e6,Tue Nov 08 14:09:02 +0000 2016,795991523451994114,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,27,5146,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",3850,4382,1393353115,AngeleesOrtiz
5821dc96369b220024820c01,Tue Nov 08 14:09:26 +0000 2016,795991624878792704,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,29,5146,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",1314,1467,69552359,djKAMOS
5821dc97369b220024820c20,Tue Nov 08 14:09:28 +0000 2016,795991630989955072,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,30,5146,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",3149,3687,25338407,RandieK
5821dc9a369b220024820c6c,Tue Nov 08 14:09:31 +0000 2016,795991642855456768,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,31,5147,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",5652,3529,1021531718,ARCHISIDDHARTH
5821dc9d369b220024820cc3,Tue Nov 08 14:09:33 +0000 2016,795991653777571840,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,32,5147,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",29,40,742405429368619010,strauss2512
5821dc9e369b220024820cf1,Tue Nov 08 14:09:35 +0000 2016,795991660136198144,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,33,5147,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",161,127,744269116673003520,Bill65936833
5821dcc2369b220024821129,Tue Nov 08 14:10:11 +0000 2016,795991811277942784,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,34,5148,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",340,186,288973453,twthead
5821dcc3369b220024821156,Tue Nov 08 14:10:12 +0000 2016,795991816432742401,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,35,5148,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",439,4993,707328481009516544,bgrigbkk
5821dcc9369b2200248211fb,Tue Nov 08 14:10:18 +0000 2016,795991840453332992,Tue Nov 08 14:06:15 +0000 2016,795990823162744833,36,5149,95,757029661289304064,alaskantexanQCT,"RT @alaskantexanQCT: #ElectionDay @HillaryClinton and all the pollsters severely underestimated how pissed off WE THE PEOPLE are!!… ",742,878,553919857,Umi_SUN37
