Time Difference,user.screen_name,Column1
0 days 04:08:49.000000000,nochangeplease,5
0 days 01:39:24.000000000,nochangeplease,5
0 days 01:27:45.000000000,nochangeplease,5
0 days 00:39:09.000000000,nochangeplease,5
0 days 00:36:32.000000000,Rabidtwinkie77,5
0 days 00:05:45.000000000,Rabidtwinkie77,5
0 days 01:19:21.000000000,Rabidtwinkie77,5
0 days 00:42:42.000000000,Rabidtwinkie77,5
0 days 00:42:50.000000000,Rabidtwinkie77,5
0 days 07:01:55.000000000,RickRed10,5
0 days 02:13:43.000000000,RickRed10,5
0 days 02:44:10.000000000,RickRed10,5
0 days 00:03:13.000000000,RickRed10,5
0 days 07:01:55.000000000,RickRed10,5
0 days 00:57:12.000000000,Scapmichelle,5
0 days 00:40:09.000000000,Scapmichelle,5
0 days 00:56:23.000000000,Scapmichelle,5
0 days 00:43:06.000000000,Scapmichelle,5
0 days 00:57:12.000000000,Scapmichelle,5
0 days 01:38:20.000000000,sfkaw69,5
0 days 03:47:37.000000000,sfkaw69,5
0 days 00:27:50.000000000,sfkaw69,5
0 days 00:27:05.000000000,sfkaw69,5
0 days 01:38:20.000000000,sfkaw69,5
0 days 00:52:08.000000000,superkel1122,5
0 days 00:28:09.000000000,superkel1122,5
0 days 00:21:53.000000000,superkel1122,5
0 days 00:53:29.000000000,superkel1122,5
0 days 00:52:08.000000000,superkel1122,5
0 days 01:37:09.000000000,TaylorTuri,5
0 days 00:06:37.000000000,TaylorTuri,5
0 days 00:08:23.000000000,TaylorTuri,5
0 days 00:42:57.000000000,TaylorTuri,5
0 days 01:37:09.000000000,TaylorTuri,5
0 days 00:27:35.000000000,tbirdsmama,5
0 days 00:37:10.000000000,tbirdsmama,5
0 days 00:37:11.000000000,tbirdsmama,5
0 days 00:46:08.000000000,tbirdsmama,5
0 days 00:27:35.000000000,tbirdsmama,5
0 days 02:12:02.000000000,Theresac2011,5
0 days 02:41:25.000000000,Theresac2011,5
0 days 03:13:10.000000000,Theresac2011,5
0 days 03:01:01.000000000,Theresac2011,5
0 days 01:29:07.000000000,Theresac2011,5
0 days 00:01:56.000000000,vronieca,5
0 days 00:01:40.000000000,vronieca,5
0 days 00:45:41.000000000,vronieca,5
0 days 00:06:27.000000000,vronieca,5
0 days 00:01:56.000000000,vronieca,5
0 days 01:10:57.000000000,1_Vagabond,4
0 days 03:36:47.000000000,1_Vagabond,4
0 days 02:14:49.000000000,1_Vagabond,4
0 days 01:10:57.000000000,1_Vagabond,4
0 days 01:35:08.000000000,4Freedom4ever,4
0 days 05:28:07.000000000,4Freedom4ever,4
0 days 04:31:22.000000000,4Freedom4ever,4
0 days 01:35:08.000000000,4Freedom4ever,4
0 days 01:26:40.000000000,4joachim,4
0 days 00:48:53.000000000,4joachim,4
0 days 00:41:15.000000000,4joachim,4
0 days 00:38:14.000000000,4joachim,4
0 days 00:08:22.000000000,61Rinaldi,4
0 days 04:14:59.000000000,61Rinaldi,4
0 days 02:00:15.000000000,61Rinaldi,4
0 days 00:08:22.000000000,61Rinaldi,4
0 days 00:24:21.000000000,adrcb1957,4
0 days 00:26:34.000000000,adrcb1957,4
0 days 01:20:41.000000000,adrcb1957,4
0 days 00:24:21.000000000,adrcb1957,4
0 days 01:26:28.000000000,AGulle1,4
0 days 02:34:24.000000000,AGulle1,4
0 days 00:06:19.000000000,AGulle1,4
0 days 00:46:28.000000000,AGulle1,4
0 days 01:15:33.000000000,AllenAdkins2,4
0 days 01:44:36.000000000,AllenAdkins2,4
0 days 01:00:06.000000000,AllenAdkins2,4
0 days 01:15:33.000000000,AllenAdkins2,4
0 days 03:16:55.000000000,AmerPride777,4
0 days 01:05:33.000000000,AmerPride777,4
0 days 00:01:21.000000000,AmerPride777,4
0 days 01:24:29.000000000,AmerPride777,4
0 days 00:15:19.000000000,AndoreaverA,4
0 days 01:01:36.000000000,AndoreaverA,4
0 days 00:33:59.000000000,AndoreaverA,4
0 days 00:15:19.000000000,AndoreaverA,4
0 days 04:55:24.000000000,annmarie440,4
0 days 00:29:05.000000000,annmarie440,4
0 days 00:01:29.000000000,annmarie440,4
0 days 04:55:24.000000000,annmarie440,4
0 days 02:38:52.000000000,Azuri21,4
0 days 04:10:02.000000000,Azuri21,4
0 days 01:45:50.000000000,Azuri21,4
0 days 02:38:52.000000000,Azuri21,4
0 days 06:01:34.000000000,Beata_0101,4
0 days 05:08:42.000000000,Beata_0101,4
0 days 00:19:31.000000000,Beata_0101,4
0 days 06:01:34.000000000,Beata_0101,4
0 days 02:45:50.000000000,Beverly86418528,4
