created_at,id,retweeted_status.created_at,retweeted_status.id,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,text,user.followers_count,user.friends_count,user.id,user.screen_name
Tue Nov 08 12:54:21 +0000 2016,795972727379283968,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,72,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",63,171,4130348859,Stella78765322
Tue Nov 08 12:54:25 +0000 2016,795972744722534400,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,73,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",518,438,3323248951,jvtorah
Tue Nov 08 12:54:27 +0000 2016,795972751542525953,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,74,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",3208,4997,251052944,CarlKenner
Tue Nov 08 12:54:29 +0000 2016,795972763332866048,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,75,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1350,2124,703313838586761216,sandandsea2015
Tue Nov 08 12:54:31 +0000 2016,795972771004157952,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,76,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",2141,2799,759791099455995904,leewhyt
Tue Nov 08 12:54:45 +0000 2016,795972826763296768,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,77,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",46,101,28540932,rsnyderphdmba
Tue Nov 08 12:54:46 +0000 2016,795972831997755392,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,78,24731,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",262,389,127282092,ew2sw
Tue Nov 08 12:54:51 +0000 2016,795972855888429056,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,79,24730,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",8,33,758130402389139456,DavidWa39715864
Tue Nov 08 12:55:00 +0000 2016,795972889665224704,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,80,24733,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",162,435,776268757115236353,antoinenorth
Tue Nov 08 12:55:01 +0000 2016,795972893909852160,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,81,24733,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1674,1496,142026187,csirigiano
Tue Nov 08 12:55:05 +0000 2016,795972914352979969,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,82,24733,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",2602,2835,2466487392,alyssa_cordaro
Tue Nov 08 12:55:19 +0000 2016,795972969520594944,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,83,24733,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",323,91,785097298204168193,JohnHowardLewi1
Tue Nov 08 12:55:36 +0000 2016,795973044682379264,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,84,24733,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",2747,3309,703795647380520960,MaryiamKhalaf
Tue Nov 08 12:55:38 +0000 2016,795973051686981632,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,85,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",223,480,4252187848,CatSteiger2
Tue Nov 08 12:55:40 +0000 2016,795973060469882881,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,86,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",14,129,721336815362318336,Edie369210
Tue Nov 08 12:55:45 +0000 2016,795973080711593985,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,87,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",211,92,2906025137,greatful_j
Tue Nov 08 12:55:49 +0000 2016,795973096188608514,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,88,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",441,665,2867786359,ssm631
Tue Nov 08 12:55:53 +0000 2016,795973112663801856,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,89,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",1749,5001,30509664,shillelagh1
Tue Nov 08 12:56:02 +0000 2016,795973150798446593,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,90,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",733,836,3406043225,DanaLeaB1
Tue Nov 08 12:56:03 +0000 2016,795973155428954114,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,91,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",130,265,753631715516710912,Raym65968544
Tue Nov 08 12:56:18 +0000 2016,795973216816730116,Tue Nov 08 12:46:52 +0000 2016,795970843948023808,92,24734,1779,133371829,kinni00,"RT @kinni00: I just voted &amp; it felt AMAZING to vote for @realDonaldTrump 
Today's the day the American people take our country b… ",35,9,778253010241589249,Wentzladelphia
