created_at,id,retweeted_status.created_at,Source,retweeted_status.retweet_count,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.id,retweeted_status.user.screen_name,user.followers_count,user.friends_count,user.id,user.screen_name,Time Difference,Weight,size,Target
12:15:51,795963039279415297,12:09:29,7.95961436279337e+17,63.0,444150.0,304.0,213478296.0,UzoAduba,504,434,386965574,RebeccaKopec,0 days 00:06:22.000000000,22.617801047120416,1.1612903225806452,795963039279415297
12:15:58,795963069763555330,12:09:29,7.95961436279337e+17,64.0,444150.0,304.0,213478296.0,UzoAduba,918,1051,2510593826,Cophineeighteen,0 days 00:06:29.000000000,22.210796915167094,0.873453853472883,795963069763555330
12:16:02,795963087161585664,12:09:29,7.95961436279337e+17,65.0,444150.0,304.0,213478296.0,UzoAduba,323,152,232387918,bukola8,0 days 00:06:33.000000000,21.984732824427482,2.125,795963087161585664
12:16:10,795963117377384448,12:09:29,7.95961436279337e+17,66.0,444150.0,304.0,213478296.0,UzoAduba,609,95,17009387,majesdane,0 days 00:06:41.000000000,21.546134663341643,6.410526315789474,795963117377384448
12:16:12,795963126118223872,12:09:29,7.95961436279337e+17,67.0,444150.0,304.0,213478296.0,UzoAduba,278,625,16504768,mcterzakis,0 days 00:06:43.000000000,21.439205955334987,0.4448,795963126118223872
12:16:26,795963187078299649,12:09:29,7.95961436279337e+17,69.0,444150.0,304.0,213478296.0,UzoAduba,314,264,506054009,Shrimedianet,0 days 00:06:57.000000000,20.719424460431657,1.1893939393939394,795963187078299649
12:17:02,795963338798698496,12:09:29,7.95961436279337e+17,71.0,444147.0,304.0,213478296.0,UzoAduba,330,473,606329210,rrbartholomew,0 days 00:07:33.000000000,19.072847682119207,0.6976744186046512,795963338798698496
12:17:05,795963347669778433,12:09:29,7.95961436279337e+17,72.0,444150.0,304.0,213478296.0,UzoAduba,394,284,43469972,pandashep,0 days 00:07:36.000000000,18.94736842105263,1.3873239436619718,795963347669778433
12:17:08,795963362307874817,12:09:29,7.95961436279337e+17,73.0,444150.0,304.0,213478296.0,UzoAduba,9579,8292,38596749,souldancing,0 days 00:07:39.000000000,18.823529411764703,1.1552098408104197,795963362307874817
12:17:13,795963384386752512,12:09:29,7.95961436279337e+17,75.0,444150.0,304.0,213478296.0,UzoAduba,352,338,620458070,MunecaSasha,0 days 00:07:44.000000000,18.620689655172416,1.0414201183431953,795963384386752512
12:17:25,795963433585934336,12:09:29,7.95961436279337e+17,76.0,444149.0,304.0,213478296.0,UzoAduba,640,451,2589318132,YaadMekI,0 days 00:07:56.000000000,18.15126050420168,1.419068736141907,795963433585934336
12:17:29,795963451315290112,12:09:29,7.95961436279337e+17,77.0,444149.0,304.0,213478296.0,UzoAduba,360,813,336107401,philips_mommy,0 days 00:08:00.000000000,18.0,0.44280442804428044,795963451315290112
12:17:45,795963516905750528,12:09:29,7.95961436279337e+17,78.0,444149.0,304.0,213478296.0,UzoAduba,1661,867,1093187414,KevinAllred,0 days 00:08:16.000000000,17.419354838709676,1.9158016147635524,795963516905750528
12:18:30,795963704357650432,12:09:29,7.95961436279337e+17,79.0,444149.0,304.0,213478296.0,UzoAduba,1875,208,2569844741,pamcurtis4210,0 days 00:09:01.000000000,15.970425138632162,9.014423076923077,795963704357650432
12:18:48,795963780920393728,12:09:29,7.95961436279337e+17,80.0,444149.0,304.0,213478296.0,UzoAduba,865,510,541712460,ChicSheri,0 days 00:09:19.000000000,15.456171735241503,1.696078431372549,795963780920393728
12:19:13,795963884670767105,12:09:29,7.95961436279337e+17,81.0,444149.0,304.0,213478296.0,UzoAduba,255,270,23731640,seekatiedraw,0 days 00:09:44.000000000,14.794520547945206,0.9444444444444444,795963884670767105
12:19:14,795963890198867968,12:09:29,7.95961436279337e+17,82.0,444149.0,304.0,213478296.0,UzoAduba,1454,1875,339064402,bromleyonfilm,0 days 00:09:45.000000000,14.769230769230768,0.7754666666666666,795963890198867968
12:19:27,795963945228136448,12:09:29,7.95961436279337e+17,83.0,444149.0,304.0,213478296.0,UzoAduba,90,489,44286869,bionicmama74,0 days 00:09:58.000000000,14.448160535117058,0.18404907975460122,795963945228136448
12:19:42,795964009900077056,12:09:29,7.95961436279337e+17,84.0,444149.0,304.0,213478296.0,UzoAduba,470,1370,20645046,nickmjimenez,0 days 00:10:13.000000000,14.094616639477977,0.34306569343065696,795964009900077056
12:19:51,795964047158083584,12:09:29,7.95961436279337e+17,85.0,444149.0,304.0,213478296.0,UzoAduba,690,770,1447852164,avawtsn,0 days 00:10:22.000000000,13.890675241157556,0.8961038961038961,795964047158083584
