Time Difference,user.screen_name
0 days 01:42:01.000000000,amylonsberry
0 days 01:45:04.000000000,D_wayne83
0 days 01:46:18.000000000,leyburn4europe
0 days 01:47:28.000000000,SiobhanTowland
0 days 01:49:49.000000000,darkxt_
0 days 01:49:49.000000000,greaspen
0 days 01:52:38.000000000,RandomsByEbbie
0 days 01:57:36.000000000,AP_Doramaqueen
0 days 01:58:36.000000000,clothdolldesign
0 days 02:00:01.000000000,hodekin1
0 days 02:04:52.000000000,ivanwhite48
0 days 02:11:06.000000000,ThatRoKaDude
0 days 02:17:16.000000000,trevlac54
0 days 02:19:12.000000000,keithkirkhope
0 days 02:20:15.000000000,ZohuraBegum
0 days 02:24:05.000000000,Simba_n_Cecil
0 days 02:25:03.000000000,sharpteach
0 days 02:29:49.000000000,GTRoberts
0 days 02:30:30.000000000,tivitdar
0 days 02:31:03.000000000,RossiQPR
0 days 02:32:20.000000000,StPats40
0 days 02:35:36.000000000,SanFranMoman
0 days 02:36:07.000000000,TheRealDonBrown
0 days 02:37:09.000000000,booksncheese
0 days 02:39:45.000000000,riga_toni92
0 days 02:40:43.000000000,trumpenough
0 days 02:42:14.000000000,Soul_prince_
0 days 02:42:29.000000000,FantiKid
0 days 02:48:16.000000000,princethorley
0 days 02:49:32.000000000,ai_briandt
0 days 02:49:46.000000000,ejam_alan
0 days 02:50:14.000000000,artymesia
0 days 02:51:35.000000000,Dreamz31
0 days 02:53:24.000000000,Lowerthanhannah
0 days 02:54:44.000000000,navarrovazquez
0 days 02:55:47.000000000,madale_madalena
0 days 02:58:29.000000000,LmaoXDLevi
0 days 02:58:51.000000000,bgv123
0 days 03:01:37.000000000,NickKehoeTV
0 days 03:01:49.000000000,verconnell
0 days 03:02:42.000000000,Moncion2
0 days 03:03:43.000000000,OutlandoGirl
0 days 03:04:05.000000000,KiranSolanki67
0 days 03:08:04.000000000,delta2768
0 days 03:11:47.000000000,viccrosee15
0 days 03:14:55.000000000,eradus2911
0 days 03:18:42.000000000,joao_diogo
0 days 03:19:49.000000000,1GenuineArticle
0 days 03:25:42.000000000,DrJenGunter
0 days 03:29:41.000000000,SocorroCarranz1
0 days 03:31:52.000000000,callumb1500
0 days 03:33:21.000000000,SoniaLoXO
0 days 03:35:42.000000000,alexina14
0 days 03:38:52.000000000,PedroAKABitch
0 days 03:39:04.000000000,zstadler
0 days 03:42:25.000000000,LewisJames_2000
0 days 03:45:48.000000000,LibbyCone
0 days 03:45:58.000000000,weewelly
0 days 03:48:36.000000000,Loras_Tweets
0 days 03:59:04.000000000,YvonneMcA
0 days 04:01:31.000000000,BTCtradePt
0 days 04:03:27.000000000,_S_Darling
0 days 04:03:29.000000000,jasoncollins98
0 days 04:05:18.000000000,loiswalters1970
0 days 04:08:54.000000000,Martin_wanted
0 days 04:11:59.000000000,camellopolus
0 days 04:19:03.000000000,Liverpotlian
0 days 04:20:59.000000000,Qizzle75
0 days 04:21:21.000000000,AndiStarwatch
0 days 04:22:35.000000000,lunaticprophet
0 days 04:24:56.000000000,Dhartogs
0 days 04:27:15.000000000,spicysnacks
0 days 04:30:02.000000000,katkin20
0 days 04:32:39.000000000,pinkyangry
0 days 04:35:49.000000000,thunderwheels
0 days 04:35:54.000000000,jlmalagachocano
0 days 04:36:37.000000000,lucyjbriers
0 days 04:38:58.000000000,ellaaquino12
0 days 04:40:39.000000000,jbeltorod
0 days 04:44:20.000000000,tarajpatil
0 days 04:46:22.000000000,NancySThompson
0 days 04:49:13.000000000,ecorrea85
0 days 04:52:44.000000000,djfmdotcom
0 days 04:53:09.000000000,PaulMacca1976
0 days 04:56:00.000000000,rallynovagorica
0 days 04:56:34.000000000,SuperJackTweet
0 days 04:59:31.000000000,Honeybee0104
0 days 05:00:48.000000000,manuelunet
0 days 05:02:00.000000000,BettsHelen
0 days 05:03:29.000000000,JCuevasC
0 days 05:10:48.000000000,ItsfknJose
0 days 05:14:05.000000000,KaJo503
0 days 05:16:08.000000000,CPKN_Sandy
0 days 05:18:33.000000000,SIMPLYTERRY_
0 days 05:21:49.000000000,bhec39
0 days 05:33:24.000000000,TwetKat
0 days 05:33:43.000000000,ososoba
0 days 05:34:35.000000000,Nesoi___
0 days 05:37:50.000000000,danoissac
0 days 05:37:59.000000000,ialexthomson
0 days 05:39:08.000000000,CardozoAth
0 days 05:50:21.000000000,marty_hogg
0 days 05:53:14.000000000,Rachelpiggott
